City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Mogadishu,SO,76.19,overcast clouds,2.0371,45.3438,Elite Hotel
561,Panama City,PA,79.84,overcast clouds,8.9936,-79.5197,Aloft Panama
563,Constitucion,CL,56.1,few clouds,-35.3333,-72.4167,Hotel Casona del Cerro
564,Trincomalee,LK,77.59,clear sky,8.5711,81.2335,trinco rest house
565,Madison,US,68.09,broken clouds,34.7334,-86.5667,"106 Jefferson Huntsville, Curio Collection by Hilton"
568,Hobyo,SO,76.17,overcast clouds,5.3505,48.5268,
572,Tombouctou,ML,68.29,overcast clouds,20.0,-3.0,
573,Ugoofaaru,MV,81.05,clear sky,5.6667,73.0,
575,Srivardhan,IN,67.46,clear sky,18.0333,73.0167,Harihareshwar MTDC Resort
576,Awjilah,LY,55.2,broken clouds,29.1081,21.2869,
578,Caconda,AO,58.3,overcast clouds,-13.7333,15.0667,
580,Maragogi,BR,76.82,scattered clouds,-9.0122,-35.2225,Hotel Praia Dourada
584,Marawi,PH,78.24,scattered clouds,7.9986,124.2928,Marawi Resort Hotel
585,Lakes Entrance,AU,69.17,scattered clouds,-37.8811,147.981,Central Hotel
588,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,
589,San Patricio,US,71.69,clear sky,28.017,-97.5169,
594,Yeppoon,AU,83.98,few clouds,-23.1333,150.7333,Blossom's on Seaspray
597,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Hotel Sunrise Attitude
601,Bilma,NE,60.31,clear sky,18.6853,12.9164,
602,Florianopolis,BR,74.62,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
606,Itoman,JP,65.17,few clouds,26.1247,127.6694,ホテルスポーツロッジ糸満
608,Cuamba,MZ,67.86,overcast clouds,-14.8031,36.5372,Pensao Cariaco
610,Tshela,CD,73.27,light rain,-4.9833,12.9333,
611,Thinadhoo,MV,81.66,broken clouds,0.5333,72.9333,
612,Dinguiraye,GN,69.15,clear sky,11.3,-10.7167,
613,Pochutla,MX,76.82,few clouds,15.7432,-96.4661,Posada San Jose
614,Sarangani,PH,81.66,scattered clouds,5.4033,125.4636,
615,Diego De Almagro,CL,67.05,clear sky,-26.3667,-70.05,Residencial Hambyll
617,Saint-Leu,RE,81.95,light rain,-21.15,55.2833,Iloha Seaview Hôtel
618,Sinnamary,GF,75.27,overcast clouds,5.3833,-52.95,L'Oiseau de Paradis - Hôtel Eco-Lodge
619,Rio Gallegos,AR,64.45,few clouds,-51.6226,-69.2181,Avellaneda Hotel
620,Bossier City,US,57.2,mist,32.516,-93.7321,Siegel Select - Bossier City
623,Lhokseumawe,ID,79.48,overcast clouds,5.1801,97.1507,Vina Vira Hotel
624,Breyten,ZA,57.04,overcast clouds,-26.3018,29.987,
627,Luau,AO,61.68,overcast clouds,-10.7073,22.2247,
629,Tura,IN,56.53,clear sky,25.5198,90.2201,
632,Bhinmal,IN,57.0,overcast clouds,25.0,72.25,
633,Samarai,PG,84.54,overcast clouds,-10.6167,150.6667,
636,Morant Bay,JM,78.42,scattered clouds,17.8815,-76.4093,Golden Shore Resort
638,Loandjili,CG,78.71,light rain,-4.7561,11.8578,MINI Hôtel Bar Le NZOUMBA
639,Djambala,CG,69.6,overcast clouds,-2.5447,14.7533,
640,Tulum,MX,77.81,few clouds,20.2167,-87.4667,Bliss Tulum
641,The Valley,AI,77.09,clear sky,18.217,-63.0578,La Vue
642,Veraval,IN,65.61,clear sky,20.9,70.3667,Hotel Park
643,Taltal,CL,67.01,scattered clouds,-25.4,-70.4833,Hostería Taltal
644,Mecca,SA,70.92,few clouds,21.4267,39.8261,Umm Al Qura Makkah
646,Japura,ID,77.86,light rain,-0.3167,102.35,
653,Goundam,ML,67.44,clear sky,16.4145,-3.6708,
657,El Monte,US,56.44,overcast clouds,34.0686,-118.0276,Ramada by Wyndham South El Monte
658,Sabang,ID,79.81,overcast clouds,5.8933,95.3214,Sabang Hill
659,Galesong,ID,78.82,broken clouds,-5.3166,119.3661,
660,San Carlos,VE,75.97,few clouds,9.6612,-68.5827,Hotel Villas del Norte
661,Luwuk,ID,84.83,overcast clouds,-0.9516,122.7875,Swiss Belinn Hotel Luwuk
662,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
664,Lahij,YE,67.95,clear sky,13.1667,44.5833,
665,Graaff-Reinet,ZA,70.92,overcast clouds,-32.2522,24.5308,Drostdy Hotel
668,Wamba,NG,71.04,few clouds,8.9333,8.6,
672,Tanout,NE,60.91,clear sky,14.9709,8.8879,
675,Loikaw,MM,63.95,overcast clouds,19.6742,97.2094,Loikaw Lodge
681,Garowe,SO,64.44,scattered clouds,8.4054,48.4845,Red Sea
682,San Juan,AR,83.97,clear sky,-31.5375,-68.5364,Hotel Selby
684,Kaohsiung,TW,67.95,broken clouds,22.6163,120.3133,寒軒國際大飯店
685,Vredendal,ZA,66.45,overcast clouds,-31.6683,18.5012,
