City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
169,Valparaiso,CL,-33.0393,-71.6273,63.48,100,0,2.3,clear sky,2023-01-19 02:16:52
170,Kavaratti,IN,10.5669,72.642,80.44,72,76,10.49,broken clouds,2023-01-19 02:16:53
171,Hovd,MN,48.0056,91.6419,3.42,70,100,1.1,overcast clouds,2023-01-19 02:16:53
172,Xuddur,SO,4.1213,43.8894,67.12,77,87,13.49,overcast clouds,2023-01-19 02:16:53
173,Racine,US,42.7495,-88.0751,35.64,86,100,14.97,overcast clouds,2023-01-19 02:16:54
174,Norman Wells,CA,65.282,-126.8329,-3.96,84,100,0.0,overcast clouds,2023-01-19 02:16:54
175,Taoudenni,ML,22.6783,-3.9836,64.65,27,100,9.69,overcast clouds,2023-01-19 02:16:54
176,Charleston,US,32.7766,-79.9309,62.29,95,100,5.75,mist,2023-01-19 02:15:46
177,Port-Cartier,CA,50.0334,-66.8654,32.76,79,100,9.13,overcast clouds,2023-01-19 02:16:55
178,Chiredzi,ZW,-21.05,31.6667,70.09,85,100,4.32,overcast clouds,2023-01-19 02:16:55
179,Ambunti,PG,-4.2365,142.8448,87.24,60,99,5.48,overcast clouds,2023-01-19 02:16:55
180,Georgetown,MY,5.4112,100.3354,82.33,65,20,11.5,few clouds,2023-01-19 02:15:33
181,Tessalit,ML,20.1986,1.0114,64.2,17,96,1.23,overcast clouds,2023-01-19 02:16:56
182,Chuy,UY,-33.6971,-53.4616,72.37,70,100,10.94,overcast clouds,2023-01-19 02:16:56
183,Sorong,ID,-0.8833,131.25,82.18,74,100,9.51,overcast clouds,2023-01-19 02:16:56
184,Cedar City,US,37.6775,-113.0619,25.77,74,0,4.61,clear sky,2023-01-19 02:13:39
185,Kichera,RU,55.9375,110.0997,-19.88,92,100,1.48,overcast clouds,2023-01-19 02:16:57
186,Lekoni,GA,-1.5843,14.2591,75.45,77,98,4.34,overcast clouds,2023-01-19 02:16:57
187,Tangi,PK,34.3006,71.6536,43.12,36,79,1.5,broken clouds,2023-01-19 02:16:58
188,Caicedo,CO,6.4051,-75.9826,60.04,95,99,2.8,overcast clouds,2023-01-19 02:16:58
189,Zhangjiakou,CN,40.81,114.8794,18.41,59,55,16.71,broken clouds,2023-01-19 02:16:58
190,Amahai,ID,-3.3333,128.9167,86.4,61,99,3.94,overcast clouds,2023-01-19 02:16:59
191,Ahipara,NZ,-35.1667,173.1667,71.89,62,10,9.22,clear sky,2023-01-19 02:16:59
192,Ginda,IN,30.6945,78.4932,41.38,46,100,2.59,overcast clouds,2023-01-19 02:16:59
193,Cienaga,CO,11.007,-74.2476,82.98,65,53,11.5,broken clouds,2023-01-19 02:16:59
194,Avarua,CK,-21.2078,-159.775,77.05,88,100,13.8,light rain,2023-01-19 02:17:01
195,Karasjok,NO,69.4719,25.5112,29.23,95,100,15.48,light snow,2023-01-19 02:17:01
